Bipolar Electronics				27/07/2022					
Filename:	micropicsmt4v0 Bill of Material 27-7-2022 Manuf 				Project MICROPICSMT4V0	Or Equiv			
Item	Designator	Load	Value	Comment	Description		Footprint	LibRef	Quantity
64	R28	Y	10K	MCWR12X1002FTL	"SMD Chip Resistor, 10 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	Y	C3216-1206	Res1206	1
65	R29	Y	300R	MCMR12X3000FTL	"MCMR12X3000FTL  SMD Chip Resistor, Ceramic, 300 ohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, Sulfur Resistant"	Y	C3216-1206	Res1206	1
66	R30	N	300R	MCMR12X3000FTL	"MCMR12X3000FTL  SMD Chip Resistor, Ceramic, 300 ohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, Sulfur Resistant"	NA	C3216-1206	Res1206	1
67	R31	Y	4K7	MCWR12X4701FTL	"SMD Chip Resistor, 4.7 kohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	Y	C3216-1206	Res1206	1
68	R32	N	470R	MCWR12X4700FTL	"MCWR12X4700FTL
SMD Chip Resistor, 470 ohm, ± 1%, 250 mW, 1206 [3216 Metric], Thick Film, General Purpose"	NA	C3216-1206	Res1206	1
69	T1	Y		"BT136S-600D,118"	"BT136S-600D,118  WEEN SEMICONDUCTORS  Triac, 600 V, 4 A, TO-252 (DPAK), 10 mA, 1 V, 5 W"	N	DPAK	Triac	1
70	T2	N	DNL	"BT136S-600D,118 (DNL Triac)"	"BT136S-600D,118  WEEN SEMICONDUCTORS  Triac, 600 V, 4 A, TO-252 (DPAK), 10 mA, 1 V, 5 W"	NA	DPAK	Triac	1
71	U1	Y		LM324DT	"OP AMP, 1.3MHZ, 0.4V/uS, SOIC-14"	Y	SO-G14/Y2.2	LM324AD	1
72	VR1	N	100K	RPot1	Potentiometer	NA	VAR-RES-Dual	RPot1	1
73	VR2	N	100K	RPot1	Potentiometer	NA	VAR-RES-Dual	RPot1	1
74	Z1	Y		1SMB5924B 9v1	Zener Diode 1SMB5924B	Y	Zener-smb	D Zener	1
75	Z2	Y		1SMB5924B 9v1	Zener Diode 1SMB5924B	Y	Zener-smb	D Zener	1
76	Z3	N		1N5355B	Zen 1N5355B 18V 5W	NA	Z5W	D Zener	1
									
	Items To Load =	55							
